what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264113625038
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1264113625653
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264113626326
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264113629297
activated,view,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.views.AntView",1264113630296
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264113633233
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264113642015
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264113642743
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264113650045
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264113657775
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1264113657801
executed,command,org.eclipse.help.ui,3.4.0.v20090528,"org.eclipse.help.ui.closeTray",1264113660654
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264113662761
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1264113663632
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264113664393
activated,view,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui.views.AntView",1264113665129
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264113669355
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264114011172
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1264114018930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264114048161
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264114050528
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264114053793
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1264114125246
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264114132104
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1264114138581
